symbol,timestamp_ms,open,high,low,close,volume,adjusted_close,trade_value,market,source,currency
FAKEUS2,2001000000000,100,101,99,100,1000,100,100000,US,synthetic,USD
FAKEUS2,2001000060000,100,102,99,101,1050,101,106050,US,synthetic,USD
FAKEUS2,2001000120000,100000,101000,99000,100500,1100,100500,110550000,US,synthetic,USD
FAKEUS2,2001000180000,100500,102000,100000,101500,1150,101500,116725000,US,synthetic,USD
FAKEUS2,2001000240000,101500,103000,101000,102500,1200,102500,123000000,US,synthetic,USD
FAKEUS2,2001000300000,102500,104000,102000,103500,1250,103500,129375000,US,synthetic,USD
FAKEUS2,2001000360000,103500,105000,103000,104500,1200,104500,125400000,US,synthetic,USD
FAKEUS2,2001000420000,104500,106000,104000,105500,1150,105500,121325000,US,synthetic,USD
FAKEUS2,2001000480000,105500,107000,105000,106500,1100,106500,117150000,US,synthetic,USD
FAKEUS2,2001000540000,106500,108000,106000,107500,1050,107500,112875000,US,synthetic,USD
FAKEUS2,2001000600000,107500,109000,100000,102000,1800,102000,183600000,US,synthetic,USD
FAKEUS2,2001000660000,102000,103000,95000,97000,2100,97000,203700000,US,synthetic,USD
FAKEUS2,2001000720000,97000,98000,90000,92000,2300,92000,211600000,US,synthetic,USD
FAKEUS2,2001000780000,92000,94000,88000,90000,2000,90000,180000000,US,synthetic,USD
FAKEUS2,2001000840000,90000,94000,89000,93000,1700,93000,158100000,US,synthetic,USD
FAKEUS2,2001000900000,93000,97000,92000,96000,1500,96000,144000000,US,synthetic,USD
FAKEUS2,2001000960000,96000,100000,95000,99000,1400,99000,138600000,US,synthetic,USD
FAKEUS2,2001001020000,99000,103000,98000,102000,1300,102000,132600000,US,synthetic,USD
FAKEUS2,2001001080000,102000,106000,101000,105000,1250,105000,131250000,US,synthetic,USD
FAKEUS2,2001001140000,105000,109000,104000,108000,1200,108000,129600000,US,synthetic,USD
